mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
12;31;24.00;0.0;7.2;76;3;80;9;94;0;1017.4;-
1;1;1.00;0.0;7.1;76;4;165;10;191;0;1017.0;-
1;1;2.00;0.0;7.2;77;4;160;9;192;0;1016.2;-
1;1;3.00;0.0;7.1;78;5;191;11;187;0;1015.5;-
1;1;4.00;0.3;6.9;79;4;109;8;197;0;1014.9;-
1;1;5.00;0.1;7.2;79;4;161;8;107;0;1014.2;-
1;1;6.00;0.2;7.2;80;6;285;11;324;0;1013.7;-
1;1;7.00;0.0;7.5;81;4;112;9;274;8;1013.4;-
1;1;8.00;0.0;7.8;82;4;134;9;167;45;1012.4;-
1;1;9.00;0.0;8.1;83;3;19;9;35;79;1011.8;-
1;1;10.00;0.0;11.3;85;4;81;12;77;54;1010.7;-
1;1;11.00;0.0;11.5;83;6;89;13;98;45;1009.9;-
1;1;12.00;0.6;12.0;84;4;78;10;90;91;1009.0;-
1;1;13.00;4.2;11.3;88;11;85;23;100;58;1008.3;-
1;1;14.00;1.7;12.2;86;13;102;28;110;26;1007.4;-
1;1;15.00;1.9;11.8;86;13;97;28;75;0;1007.3;-
1;1;16.00;12.9;8.0;85;27;63;60;59;3;1009.5;-
1;1;17.00;2.3;8.0;81;48;66;70;65;0;1008.9;-
1;1;18.00;0.1;7.7;81;48;61;76;66;0;1007.7;-
1;1;19.00;0.4;8.3;80;46;61;76;57;0;1007.4;-
1;1;20.00;0.4;8.4;79;41;49;65;50;0;1007.3;-
1;1;21.00;0.1;8.5;76;45;58;69;44;9;1006.4;-
1;1;22.00;0.0;8.7;75;31;98;58;63;0;1007.3;-
1;1;23.00;0.0;8.8;76;9;55;24;52;0;1007.4;-
1;1;24.00;0.0;8.4;76;10;83;31;69;0;1006.8;-
1;2;1.00;0.0;8.4;72;15;97;40;95;0;1006.5;-
1;2;2.00;0.0;8.3;76;15;128;37;75;0;1006.9;-
1;2;3.00;0.0;8.4;74;12;88;28;103;0;1006.6;-
1;2;4.00;0.0;9.2;75;9;123;25;90;0;1006.7;-
1;2;5.00;0.0;8.4;74;8;7;18;93;0;1007.7;-
1;2;6.00;0.0;8.0;75;8;129;20;84;0;1008.2;-
1;2;7.00;0.0;8.2;75;6;152;20;131;0;1009.3;-
1;2;8.00;0.0;8.6;75;5;124;11;163;72;1010.3;-
1;2;9.00;0.0;8.7;75;5;165;9;175;326;1011.3;-
1;2;10.00;0.0;9.3;75;5;202;10;192;354;1011.7;-
1;2;11.00;0.0;9.9;75;6;33;11;210;903;1011.7;-
1;2;12.00;0.0;9.6;75;6;279;11;275;857;1011.9;-
1;2;13.00;0.0;9.4;74;7;252;14;249;789;1012.1;-
1;2;14.00;0.0;9.5;75;8;259;16;241;756;1012.8;-
1;2;15.00;0.0;9.5;74;4;281;8;286;349;1013.3;-
1;2;16.00;0.0;8.9;75;5;325;9;318;39;1013.6;-
1;2;17.00;0.0;8.1;76;3;86;9;45;0;1014.2;-
1;2;18.00;0.0;7.5;76;4;189;10;46;0;1014.7;-
1;2;19.00;0.0;6.8;77;5;80;10;45;0;1014.8;-
1;2;20.00;0.0;6.5;77;4;72;10;60;0;1016.2;-
1;2;21.00;0.0;6.6;79;6;102;12;94;0;1016.3;-
1;2;22.00;0.0;5.8;79;5;145;13;75;0;1016.5;-
1;2;23.00;0.0;6.3;80;6;94;12;74;0;1016.0;-
1;2;24.00;0.0;6.2;81;5;112;12;232;0;1016.0;-
1;3;1.00;0.0;6.4;81;7;100;13;171;8;1015.5;-
1;3;2.00;0.0;5.6;81;5;168;11;177;0;1016.0;-
1;3;3.00;0.0;5.8;81;4;181;10;112;0;1015.3;-
1;3;4.00;0.0;6.3;82;5;97;10;82;0;1014.8;-
1;3;5.00;0.0;5.5;82;4;153;10;74;0;1014.4;-
1;3;6.00;0.0;5.1;82;4;189;10;115;0;1013.7;-
1;3;7.00;0.0;5.4;83;5;61;11;105;6;1014.1;-
1;3;8.00;0.0;6.1;82;6;120;14;98;188;1012.1;-
1;3;9.00;0.0;6.8;82;4;131;9;311;410;1011.6;-
1;3;10.00;0.0;7.9;82;6;110;16;114;663;1009.9;-
1;3;11.00;0.0;9.7;81;10;134;26;107;1103;1007.8;-
1;3;12.00;0.0;10.9;80;10;147;25;145;1131;1004.8;-
1;3;13.00;0.0;10.5;79;8;326;15;226;790;1003.8;-
1;3;14.00;0.0;10.9;79;12;65;21;341;42;1003.9;-
1;3;15.00;1.1;10.0;77;10;122;22;115;10;1003.5;-
1;3;16.00;0.9;9.5;79;13;40;30;124;0;1003.2;-
1;3;17.00;0.0;9.1;79;22;86;46;33;0;1003.8;-
1;3;18.00;0.0;9.6;79;15;96;32;97;0;1004.6;-
1;3;19.00;0.0;9.4;79;8;35;15;49;0;1005.4;-
1;3;20.00;0.0;9.0;79;9;120;23;89;0;1005.7;-
1;3;21.00;0.0;8.5;79;6;151;15;223;0;1006.9;-
1;3;22.00;0.0;8.2;79;6;145;10;119;0;1007.7;-
1;3;23.00;0.0;7.2;81;9;203;21;208;0;1008.6;-
1;3;24.00;0.0;7.0;81;7;149;19;201;0;1007.9;-
1;4;1.00;0.0;7.4;81;6;124;15;110;0;1006.9;-
1;4;2.00;0.0;7.6;82;8;184;22;173;0;1007.5;-
1;4;3.00;0.0;8.0;83;11;253;22;270;0;1007.8;-
1;4;4.00;0.0;7.9;84;9;70;22;53;0;1007.7;-
1;4;5.00;0.0;7.7;84;8;141;23;58;8;1007.4;-
1;4;6.00;0.0;7.0;84;5;146;12;184;0;1007.8;-
1;4;7.00;0.0;7.1;84;4;95;12;51;1;1008.1;-
1;4;8.00;0.0;7.5;84;5;132;13;91;97;1008.5;-
1;4;9.00;0.0;7.9;85;3;76;9;174;270;1009.0;-
1;4;10.00;0.0;9.0;84;4;229;9;46;590;1008.8;-
1;4;11.00;0.0;9.1;84;2;211;8;219;539;1008.1;-
1;4;12.00;0.0;-;-;5;226;9;235;700;1007.5;-
1;4;13.00;0.0;-;-;6;244;10;209;454;1006.9;-
1;4;14.00;0.0;-;-;6;292;11;238;253;1006.8;-
1;4;15.00;0.0;-;-;5;293;10;301;153;1006.8;-
1;4;16.00;0.0;-;-;6;348;10;294;28;1006.7;-
1;4;17.00;0.0;-;-;5;16;10;2;0;1006.7;-
1;4;18.00;0.0;-;-;5;336;10;339;0;1006.9;-
1;4;19.00;0.0;10.0;-;8;2;11;330;0;1006.5;-
1;4;20.00;0.0;9.9;-;7;72;10;21;10;1006.3;-
1;4;21.00;0.0;9.8;-;7;69;11;65;0;1006.1;-
1;4;22.00;0.0;10.6;-;6;66;10;98;0;1006.1;-
1;4;23.00;0.0;11.4;-;6;101;13;132;0;1006.3;-
1;4;24.00;0.0;11.7;-;9;117;22;117;0;1005.3;-
1;5;1.00;0.0;11.7;-;3;76;11;107;0;1006.2;-
1;5;2.00;0.0;11.7;-;3;290;9;288;0;1006.2;-
